"","OR","p.value","adj.P.Val","setSize","numSig","ID","sigGenes"
"Muscle Hypertonia",8.28341384863124,0.000134357180009856,0.101439670907441,26,4,"MESH:D009122","BDNF;GAD1;TAC1;HTR2C"
"Neurologic Manifestations",1.97296674836175,0.000149725119921079,0.112892740420493,815,37,"MESH:D009461","SLC27A2;ANXA5;TGFB3;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;EIF2AK3;CD47;HTRA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;ACE;GRIA1;GRIN2B;FOSB;GAD1;TAC1;PDYN;MAP4;GABBR2;KCNJ6"
"Emphysema",2.43267020904962,0.000152670845936058,0.114961146989852,378,21,"MESH:D004646","TGFB3;TCF4;APP;LPL;CXCR4;TIMP3;TGFBR2;EIF2AK3;BCL2L11;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;RGS2;ACHE;AGTR1;TAC1;NRN1;KCNK2"
"Lung Injury",1.60516810415866,0.000173539663737177,0.130501827130357,2374,84,"MESH:D055370","FRAS1;SEMA7A;CHL1;SLC27A2;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;NRG1;CLDN1;DUSP10;WT1;NREP;NTRK2;CD47;HTRA1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;TAC1;PDYN;SNAP25;HIVEP1;DPYSL2;GUCY1A3;PAK3;PRSS23;GBE1;TUBB2B;TUBB2A;MAP4;ETS1;IFIT3;MEF2C;PC;CLIC4;EFHD2;NR4A3;HSD17B12;GDF10;SLC7A1;NTRK3;GPR176;TYRO3;PNOC;KCNJ4;KCNA4;LGI2;EDIL3"
"Peripheral Nervous System Diseases",1.67803017993132,0.000175321692633225,0.131666591167552,1777,67,"MESH:D010523","SLC27A2;ANXA5;IFRD1;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;NEFH;NTRK2;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;RASGRP1;ROBO1;CYFIP2;SLC4A8;ZEB2;PC;ZWINT;MATN2;CLIC4;NR4A3;GDF10;RGS17"
"Neoplasm Invasiveness",1.67952436194896,0.000187922800331152,0.140942100248364,1719,66,"MESH:D009361","SLC27A2;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;ERBB4;WT1;NREP;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;FOSB;GAD1;TAC1;EIF4G2;ROBO1;CIT;ETV5;CAMK2G;PDZD2;ZEB2;ETS1;IFIT3;LRP1;MEF2C;ZWINT;NR4A3;SYNJ2;LRIG1;GDF10;ELMO1;BCR;BTBD11;TRPC6"
"Hearing Loss, Sensorineural",2.06850236864772,0.000191044039338137,0.143091985464265,636,31,"MESH:D006319","IFRD1;FAM129A;XDH;APP;LPL;CXCR4;TGFBR2;IGFBP4;CLDN1;NTRK2;CD47;CALB1;PTGS1;BCL2L11;ATF3;SPP1;ATF4;MAPK3;JUN;ASNS;BDNF;VGF;GAD1;TAC1;ABAT;GUCY1A3;PSME1;CYFIP2;GBE1;SYT1;SLC7A1"
"Nephritis, Interstitial",1.60254354676732,0.000196277310174416,0.146815428010463,2191,83,"MESH:D009395","HABP4;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;LGALS1;EIF2AK3;GFRA1;CLDN1;NEFH;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;GRIA3;EFNB3;NPTX2;SNAP25;PRMT2;GNG4;DPYSL2;ABAT;PTN;PRKACB;FRZB;PRSS23;ETV5;SPARCL1;SMARCA2;PSME1;CYFIP2;GBE1;ARHGAP26;PTPRE;PC;PTPRD;ZWINT;PFKP;CLIC4;LRIG1;GDF10;ELMO1;ST3GAL6;KLF12;SLIT1"
"Adenomatous Polyposis Coli",11.6268072289157,0.000196747651371545,0.146970495574544,14,3,"MESH:D011125","PTGS1;MAPK3;MCC"
"Blood Coagulation Disorders",1.53914154020234,0.000207928643033431,0.15511476770294,2876,105,"MESH:D001778","NRSN1;UFD1L;DCAF7;KLHL13;INF2;PCDH17;HABP4;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;SERPINE2;RHOB;XDH;APP;LPL;TIMP3;TGFBR2;IGFBP4;MTHFD2;EIF2AK3;GFRA1;NRG1;DUSP10;NREP;ARHGAP5;NEFH;NTRK2;HTRA1;NUDT4;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;ATF4;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;ACHE;AGTR1;DOK4;VGF;GRIA1;FOSB;TAC1;RELN;GRIA3;EFNB3;PHKA2;PRMT2;HIVEP1;GNG4;DPYSL2;ABAT;GUCY1A3;PAK3;DDAH1;GPCPD1;SMARCA2;CAMK2G;GPT2;CYFIP2;GBE1;SPRY2;SLC4A8;MOXD1;ARHGAP26;ZEB2;IFIT3;LRP1;PTPRE;PC;PTPRD;ZWINT;EFHD2;SYNJ2;FAM65B;ADCY1;ELMO1;NETO2;RNF144B;BTBD11;SLC7A1;IRF6;ST3GAL6;LAPTM4B;NEK7;RSPO3;USP25;KLF12;NECAB1;GABBR2;FAM84B;LYPD6;STXBP2;PCSK1;VSTM2A;CPNE4;PCDH8;PCDH19"
"Skin Neoplasms",1.52239786625033,0.000212031986135505,0.157963829670951,3247,113,"MESH:D012878","MED16;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NTRK2;HTRA1;NUDT4;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;AGTR1;DOK4;CNR1;FOSB;GAD1;TAC1;RELN;EFNB3;NPTX2;GNG4;PTN;NRN1;EIF4G2;ROBO1;CIT;PAK3;FRZB;ETV5;PEA15;GPT2;SPRY2;TUBB2B;PDZD2;CREB3;RAB27B;ZEB2;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;ZWINT;MATN2;EFHD2;NR4A3;SYNJ2;FAM65B;HSD17B12;GDF10;STAMBPL1;ELMO1;RGS17;NETO2;RNF144B;BTBD11;ALPK2;ADARB1;SPRY4;SYNGR3;OXR1;GFPT2;TMTC1;USP25;HR;KLF12;TRPC6;THSD4;HDAC9;ST8SIA2;ST6GALNAC5;ALK"
"Bundle-Branch Block",5.19377022653722,0.000214688398948575,0.15972816881774,61,6,"MESH:D002037","ATF3;MAPK3;ASNS;HMGCS1;BDNF;HTR2C"
"Colonic Neoplasms",1.66137346333192,0.000214753253993777,0.15972816881774,1829,68,"MESH:D003110","SLC27A2;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;WT1;ARHGAP5;NUDT4;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;ACE;CNR1;FOSB;GAD1;TAC1;RELN;NPTX2;DPYSL2;NRN1;GUCY1A3;PRKACB;IQGAP2;PAK3;SCPEP1;SPRY2;MAP4;ETS1;IFIT3;MEF2C;PFKP;NR4A3;HSD17B12;L1CAM;ADARB1"
"Leukemia, Lymphoid",2.55309417040359,0.00021916280964601,0.162618804757339,300,18,"MESH:D007945","CXCR4;IGFBP4;MTHFD2;LGALS1;GFRA1;CLDN1;DUSP10;NREP;ABCA1;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;ACHE;DOK4;PTPRE"
"Hyperbilirubinemia",2.00834914611006,0.000229527411303859,0.170079811776159,706,33,"MESH:D006932","SLC27A2;IFRD1;SERPINE2;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;IGFBP4;MTHFD2;GFRA1;DUSP10;NUDT4;CALB1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;RGS2;FOSL2;DOK4;TAC1;RELN;NR4A3;ALPK2;HDAC9"
"Affective Disorders, Psychotic",7.76509661835749,0.00023189394090169,0.171601516267251,31,4,"MESH:D000341","HMGCS1;BDNF;RELN;HTR2C"
"Dementia",2.24574499850702,0.000241719095032574,0.178630411229072,460,24,"MESH:D003704","ANXA5;DUSP5;APP;LPL;IGFBP4;NTRK2;ATF3;SPP1;MAPK9;MAPK3;JUN;ASNS;RGS2;BDNF;ACHE;GRIA1;FOSB;GAD1;TAC1;HTR2C;GRIA3;NPTX2;L1CAM;KCNIP3"
"Pancytopenia",1.82582797476264,0.000243498793155625,0.179702109348851,1029,45,"MESH:D010198","OLFM3;DUSP5;SERPINE2;RHOB;XDH;APP;LPL;CXCR4;TIMP3;IGFBP4;MTHFD2;LGALS1;CLDN1;DUSP10;ERBB4;NTRK2;HTRA1;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;VGF;GAD1;RELN;EFNB3;PRMT2;PRKACB;CYFIP2;TUBB2B;SLC4A8;MAP4;PTPRE;EFHD2;SYNJ2;IRF6;SLIT1;VAT1L"
"Demyelinating Diseases",1.73327477675304,0.000248672480360702,0.183271618025837,1374,55,"MESH:D003711","SLC27A2;IFRD1;SERPINE2;SFRP2;RBP4;XDH;APP;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;CLDN1;DUSP10;ERBB4;WT1;NREP;NEFH;NTRK2;HTRA1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;RGS2;FOSL2;BDNF;CNR1;FOSB;GAD1;TAC1;RELN;GRIA3;NPTX2;SPARCL1;SLC4A8;ETS1;MEF2C;MATN2;STAMBPL1;GPM6A;THBS2;ST3GAL6;L1CAM;NTRK3;PYGO1"
"Drug Overdose",2.76522571938531,0.000251715784818084,0.18526281762611,254,15,"MESH:D062787","APP;LPL;PTGS1;SPP1;MAPK9;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;ACHE;TAC1;HTR2C;ADRA1D"
"Bronchial Hyperreactivity",2.16331859114403,0.000275354761083173,0.202385749396132,570,26,"MESH:D016535","DUSP5;APP;CXCR4;CD47;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;GPX3;ATF4;MAPK3;JUN;HMGCS1;BDNF;ACE;AGTR1;GRIN2B;FOSB;TAC1;PTN;NRN1;IQGAP2;HLF;AP2B1;FAT3"
"Sexual Dysfunction, Physiological",4.45811609315259,0.000276423553973433,0.2028948886165,86,7,"MESH:D012735","MAPK3;JUN;ASNS;BDNF;TAC1;HTR2C;KCNJ6"
"Muscle Spasticity",5.98295772024586,0.000281001082185854,0.205973793242231,40,5,"MESH:D009128","MAPK3;JUN;BDNF;CNR1;PDYN"
"Serotonin Syndrome",5.05300446077145,0.000282980788781861,0.207141937388322,66,6,"MESH:D020230","NTRK2;MAPK3;ASNS;HMGCS1;BDNF;HTR2C"
"Ventricular Dysfunction",2.22557014103683,0.000286009078888982,0.209072636667846,448,24,"MESH:D018754","XDH;APP;LPL;EIF2AK3;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;ACHE;ACE;AGTR1;FOSB;TAC1;HTR2C;PC;ADRA1D;KCNJ6"
"Sepsis",2.12076524762829,0.000309542324464276,0.225965896858921,566,27,"MESH:D018805","ANXA5;IFRD1;SERPINE2;XDH;APP;CXCR4;TIMP3;TGFBR2;IGFBP4;GFRA1;CLDN1;ERBB4;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;FOSL2;BDNF;TAC1;GPR176"
"Glomerulonephritis",2.48502183406114,0.000340874965031159,0.248497849507715,332,18,"MESH:D005921","ANXA5;FAM129A;APP;LPL;TIMP3;TGFBR2;WT1;PTGS1;ATF3;SPP1;MAPK9;GPX3;MAPK3;JUN;ACHE;ACE;AGTR1;ZWINT"
"Ovarian Diseases",1.48508053996077,0.000361014226982707,0.262818357243411,3581,122,"MESH:D010049","SPOCK2;WDR6;NETO1;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;LGALS1;EIF2AK3;NRG1;CLDN1;DUSP10;ERBB4;ARHGAP5;NTRK2;HTRA1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;ACHE;ACE;GRIA1;CNR1;FOSB;GAD1;TAC1;HTR2C;PVALB;HIVEP1;ABAT;RASGRP1;GUCY1A3;EIF4G2;ROBO1;IQGAP2;HLF;CIT;PAK3;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;MCC;SMARCA2;CAMK2G;PSME1;GPT2;RAB3B;SPRY2;TUBB2B;PDZD2;SLC4A8;CREB3;KRT80;ZEB2;TUBB2A;ETS1;IFIT3;PTPRE;MEF2C;ZWINT;MATN2;NR4A3;SYNJ2;SYT1;RGS17;NETO2;GPM6A;BCR;THBS2;IRF6;ST3GAL6;ALPK2;MAPK6;SPRY4;ADCYAP1R1;TCP11L2;SYNGR3;FAM84A;COL16A1;NTRK3;HAP1;PEG3;DTNA;CRHR2;LURAP1L;OPCML;TRPC6;ABCA8;PCDH19;STMN2;DLGAP1;AKAP5;CACNG8;CHODL;RXFP1;RIBC1"
"Hepatic Encephalopathy",1.61721892052407,0.000365985091775218,0.266071161720583,1844,71,"MESH:D006501","DCAF7;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;SERPINE2;RHOB;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;EIF2AK3;NRG1;CLDN1;DUSP10;NEFH;NTRK2;CD47;HTRA1;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;VGF;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;GRIA3;SNAP25;PHKA2;PRMT2;HIVEP1;CARS;ABAT;DDAH1;SPARCL1;CYFIP2;GBE1;ARHGAP26;ZEB2;IFIT3;PC;PTPRD;ZWINT;RGS17;LYPD6;CREG2;ST8SIA2;KCNA4"
"Myelodysplastic Syndromes",2.31184403862301,0.000375542028388149,0.272643512609796,386,21,"MESH:D009190","SFRP2;FAM129A;CXCR4;TGFBR2;MTHFD2;LGALS1;DUSP10;ERBB4;ATF3;SPP1;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;FOSB;NPTX2;TUBB2B;PTPRE"
"Olfaction Disorders",3.90579268292683,0.000391960626385858,0.284171454129747,95,8,"MESH:D000857","IFRD1;APP;CXCR4;EIF2AK3;NREP;ATF3;MAPK3;JUN"
"Coronary Disease",2.46311688311688,0.000392791699465329,0.284381190412898,350,18,"MESH:D003327","APP;LPL;CXCR4;EIF2AK3;NEFH;ABCA1;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;HMGCS1;BDNF;ACHE;ACE;AGTR1"
"Nephrocalcinosis",5.76091830329118,0.000395222828117394,0.285746104728876,52,5,"MESH:D009397","CALB1;ABCA1;PTGS1;SPP1;ATF4"
"Drug Hypersensitivity",1.62179698556685,0.000396911596108346,0.286570172390226,1844,69,"MESH:D004342","PCDH17;SLC27A2;FAT1;ANXA5;IFRD1;TGFB3;SERPINE2;TCF4;RHOB;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;NREP;CD47;HTRA1;NUDT4;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACE;AGTR1;GRIA1;CNR1;FOSB;GAD1;TAC1;RELN;PDYN;GRIA3;DPYSL2;PRKACB;ADCYAP1;GPT2;CYFIP2;ZEB2;PC;ZWINT;MATN2;CLIC4;RGS17;GPM6A;RNF144B;STXBP2;SLIT1"
"Cystitis",1.70281714483235,0.000397461246631572,0.286570172390226,1406,55,"MESH:D003556","ANXA5;IFRD1;DUSP5;TCF4;RHOB;SFRP2;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;LAMB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;CNR1;FOSB;GAD1;TAC1;ADCYAP1;TUBB2B;ETS1;IFIT3;ELMO1;NETO2;ALPK2"
"Leiomyoma",2.22044553884037,0.000402474666980587,0.289781760226023,422,23,"MESH:D007889","IFRD1;DUSP5;TGFB3;SERPINE2;LPL;TIMP3;IGFBP4;NREP;ATF3;MAPK3;JUN;BDNF;GAD1;RASGRP1;IQGAP2;IFIT3;PTPRE;SYNJ2;LRIG1;GDF10;CRHR2;GABBR2;PNOC"
"Sudden Infant Death",4.28262010400267,0.000421809836811553,0.303281272667506,75,7,"MESH:D013398","EIF2AK3;ATF3;SPP1;MAPK3;JUN;BDNF;NRN1"
"Teratogenesis",2.21354046797085,0.000425314244606377,0.305375627627379,422,23,"MESH:D064793","ANXA5;DUSP5;TCF4;LPL;TIMP3;GFRA1;SPP1;GPX3;MAPK3;HMGCS1;RGS2;FOSL2;ACHE;GRIA1;GRIN2B;RASGRP1;PAK3;CAMK2G;MOXD1;NUP62CL;MEF2C;ADARB1;TMEM229B"
"Inappropriate ADH Syndrome",2.50818048337101,0.00044340115571793,0.317918628649756,304,17,"MESH:D007177","DUSP10;NREP;BCL2L11;ATF3;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;ACHE;VGF;TAC1;HTR2C"
"Organophosphate Poisoning",10.3341365461847,0.000443499535057405,0.317918628649756,20,3,"MESH:D062025","NEFH;ACHE;ACE"
"Vascular System Injuries",10.3341365461847,0.000443499535057405,0.317918628649756,15,3,"MESH:D057772","SPP1;ACE;AGTR1"
"Breast Neoplasms",1.42118712357067,0.000465009687139728,0.332016916617766,6825,207,"MESH:D001943","SPOCK2;TTC39B;NDNF;NXPH1;NETO1;ICAM5;SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;TGFB3;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;LGALS1;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;ERBB4;WT1;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;PVALB;GRIA3;EFNB3;NPTX2;SNAP25;PRMT2;HIVEP1;CARS;GNG4;ABAT;PTN;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;ROBO1;IQGAP2;HLF;CIT;PAK3;FRZB;DDAH1;PRSS23;ENAH;ETV5;SPARCL1;SCPEP1;ADCY2;GPCPD1;PEA15;SMARCA2;CAMK2G;PSME1;GPT2;CYFIP2;GBE1;RAB3B;SPRY2;TUBB2B;PDZD2;SLC4A8;CREB3;MOXD1;RAB27B;KRT80;NUP62CL;ARHGAP26;ZEB2;TUBB2A;MAP4;ETS1;IFIT3;LRP1;PTPRE;MEF2C;PC;PTPRD;ZWINT;PFKP;MATN2;CLIC4;EFHD2;NR4A3;SYNJ2;LRIG1;FAM65B;HSD17B12;GDF10;ADCY1;STAMBPL1;SYT1;ELMO1;RGS17;NETO2;GPM6A;RNF144B;BCR;THBS2;GNB4;SLC7A1;IRF6;ST3GAL6;ALPK2;L1CAM;ADARB1;SPRY4;ADCYAP1R1;TCP11L2;SYNGR3;OXR1;LAPTM4B;TMTC4;RSPO3;TMEM106B;GFPT2;COL16A1;CALN1;SCN3B;SDC3;SLC24A3;TMTC1;USP25;UBASH3B;NTRK3;HR;PEG3;CLSTN1;KLF12;DTNA;GABBR2;GRIA4;FURIN;PAQR8;TRPC6;PYGO1;THSD4;GPR176;TYRO3;PNOC;KCNK2;VWA5A;HDAC9;PCSK1N;ST6GALNAC5;ABCA8;DCC;PCDH19;ALK;SLC44A5;GXYLT2;NMBR;GPR83;ZNF365;C14ORF132;VWC2"
"Hypersensitivity, Delayed",2.56140616713387,0.000494103535792879,0.352295821020323,273,16,"MESH:D006968","IFRD1;RHOB;CXCR4;MTHFD2;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;FOSL2;BDNF;ACHE;FOSB;RELN"
"Bone Diseases",2.09558253681219,0.000501762997354423,0.357255254116349,537,26,"MESH:D001847","SERPINE2;TCF4;APP;CXCR4;TGFBR2;MTHFD2;CLDN1;CD47;HTRA1;ABCA1;BCL2L11;ATF3;SPP1;MAPK9;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GAD1;ABAT;NR4A3;GPM6A"
"Cerebellar Diseases",2.09558253681219,0.000501762997354423,0.357255254116349,508,26,"MESH:D002526","APP;EIF2AK3;NEFH;HTRA1;BCL2L11;ATF3;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIN2B;FOSB;GAD1;TAC1;RELN;HTR2C;GRIA3;PRKACB;SLC4A8;CREB3;GNB4;SYT11"
"Tachycardia, Supraventricular",2.54826875722398,0.000533199220196759,0.378571446339699,269,16,"MESH:D013617","LPL;BCL2L11;ATF3;SPP1;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;FOSB;TAC1;HTR2C"
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",2.40997881355932,0.000553541715593142,0.392461076355538,315,18,"MESH:D015464","CXCR4;TIMP3;IGFBP4;LGALS1;EIF2AK3;ERBB4;WT1;ABCA1;PTGS1;BCL2L11;ATF3;MAPK9;ATF4;MAPK3;JUN;HMGCS1;SCPEP1;BCR"
"Arteriosclerosis",1.80670350923665,0.000565666491162281,0.400491875742895,941,41,"MESH:D001161","CHGB;FAT1;IFRD1;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;DUSP10;NTRK2;LAMB1;ABCA1;ATF3;SPP1;GPX3;MAPK3;JUN;HMGCS1;RGS2;BDNF;ACE;VGF;ABAT;ENAH;SPARCL1;SMARCA2;TUBB2B;TUBB2A;LRP1;PTPRD;PFKP;MATN2;NETO2;GNB4;C1QTNF4"
"Drug Eruptions",1.80670350923665,0.000565666491162281,0.400491875742895,1004,41,"MESH:D003875","OLFM3;SLC27A2;IFRD1;TGFB3;SERPINE2;RHOB;FAM129A;XDH;APP;LPL;CXCR4;TIMP3;MTHFD2;EIF2AK3;CLDN1;CD47;HTRA1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;FOSL2;BDNF;FOSB;GAD1;TAC1;RELN;GNG4;DPYSL2;ZEB2;IFIT3;ZWINT;EFHD2"
"Fetal Diseases",2.53526338158454,0.000574921308751323,0.405894443978434,266,16,"MESH:D005315","ANXA5;IFRD1;IGFBP4;NTRK2;PTGS1;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;BDNF;FOSB;TAC1;EFNB3;NETO2"
"Neurogenic Inflammation",3.07987451737452,0.000576123253117513,0.406166893447847,154,11,"MESH:D020078","APP;EIF2AK3;CLDN1;SPP1;MAPK9;MAPK3;JUN;BDNF;GRIN2B;TAC1;PNOC"
"Blepharospasm",20.6282051282051,0.000578274637467242,0.407105344776938,7,2,"MESH:D001764","GRIA1;HTR2C"
"Hyperlipidemia, Familial Combined",20.6282051282051,0.000578274637467242,0.407105344776938,9,2,"MESH:D006950","LPL;ABCA1"
"Intestinal Polyps",20.6282051282051,0.000578274637467242,0.407105344776938,6,2,"MESH:D007417","PTGS1;JUN"
"Urinary Bladder Diseases",1.79315203607158,0.000579082068564725,0.407105344776938,1000,42,"MESH:D001745","ANXA5;IFRD1;TGFB3;SERPINE2;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;LGALS1;GFRA1;NRG1;CLDN1;WT1;NREP;NTRK2;HTRA1;LAMB1;ABCA1;PTGS1;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;AGTR1;GAD1;TAC1;EFNB3;ADCYAP1;SPRY2;PTPRE;PNOC"
